year_built,wn_site_eui,wn_source_eui,Latitude,Longitude
"1,992",196.4,264.1,40.711453,-74.010504
"1,930",6.9,21.8,40.71381,-74.013715
"1,918",72.5,204.9,40.71156,-74.008469
"1,907",93.2,185.6,40.711843,-74.009562
"1,911",106.5,262.7,40.711977,-74.009865
"2,006",91.2,162.5,40.7122,-74.008563
"1,915",103.4,198.9,40.71187,-74.008217
"1,883",72.1,155.8,40.710531,-74.007441
"1,961",100.8,278.6,40.711313,-74.008661
"2,012",143.4,220.7,40.710836,-74.007041
"1,896",40.7,94.7,40.711508,-74.007679
"2,005",134.1,320.3,40.709749,-74.006792
"1,985",83.5,193.2,40.710059,-74.005955
"1,973",36.8,115.6,40.709858,-74.00505
"1,955",75.6,143,40.709944,-74.006045
"1,981",116.2,165.8,40.708179,-74.00462
"1,953",279.2,551.7,40.709982,-74.005151
"1,901",80.1,128.9,40.711288,-74.006374
"1,896",103.9,237.5,40.711401,-74.006204
"1,900",86.2,153.4,40.711763,-74.006857
"1,953",Not Available,Not Available,40.711774,-73.999683
"1,974",83.6,235.7,40.710207,-74.001125
"1,960",77.6,114.4,40.713139,-74.000144
"1,913",69.5,170.2,40.712265,-74.007892
"1,926",77.7,158.5,40.712828,-74.008296
"1,963",93.2,201.2,40.712982,-74.007301
"1,958",67.4,162.3,40.713671,-74.010194
"1,921",56.9,92.1,40.713764,-74.010356
"1,964",26,52.5,40.71361,-74.008989
"1,985",89.1,258.9,40.71445,-74.011475
"1,983",91.6,227.2,40.713767,-74.011925
"1,927",43.1,135.4,40.71417,-74.01282
"1,986",91.9,185.3,40.715221,-74.01124
"2,001",87.8,161.2,40.714582,-74.010569
"1,915",67.7,116.7,40.713564,-74.006828
"1,900",Not Available,Not Available,40.713314,-74.007759
"1,930",68.9,153.1,40.713588,-74.008361
"1,906",70.3,116,40.713696,-74.00672
"1,928",220,393,40.714022,-74.006442
"1,985",66.3,157.5,40.714489,-74.008643
"2,007",137.1,310.5,40.715205,-74.009476
"1,915",64.2,101.5,40.715103,-74.010003
"1,986",89.6,178.8,40.716012,-74.011017
